,country,rank_crime,rank_health,rank_climate,rank_pollution,rank_groceries,rank_rent,rank_utilities,rank_public_transportation
0,Afghanistan,125.0,,,109.0,0.0,0.0,,
1,Albania,48.0,76.0,,88.0,28.0,23.0,40.0,19.0
2,Algeria,88.0,73.0,,63.0,38.0,6.0,9.0,14.0
3,Angola,114.0,,,,,,,
4,Argentina,108.0,30.0,1.0,35.0,18.0,20.0,41.0,25.0
5,Armenia,9.0,,,49.0,17.0,46.0,34.0,16.0
6,Australia,57.0,8.0,16.0,9.0,122.0,118.0,72.0,100.0
7,Austria,13.0,6.0,45.0,6.0,110.0,107.0,99.0,79.0
8,Azerbaijan,31.0,89.0,,91.0,6.0,29.0,17.0,12.0
9,Bahamas,111.0,,,,113.0,121.0,,
10,Bahrain,26.0,,,77.0,91.0,111.0,87.0,60.0
11,Bangladesh,113.0,90.0,55.0,101.0,33.0,5.0,8.0,29.0
12,Barbados,,,,,117.0,90.0,,
13,Belarus,15.0,58.0,65.0,29.0,24.0,40.0,24.0,20.0
14,Belgium,65.0,14.0,28.0,38.0,107.0,103.0,77.0,80.0
15,Belize,,,,,77.0,33.0,,
16,Bolivia,91.0,,,81.0,26.0,47.0,12.0,58.0
17,Bosnia and Herzegovina,60.0,78.0,37.0,52.0,25.0,12.0,76.0,46.0
18,Botswana,93.0,,,,42.0,50.0,,
19,Brazil,122.0,65.0,5.0,41.0,31.0,44.0,37.0,74.0
20,Brunei,22.0,,,,62.0,97.0,,
21,Bulgaria,44.0,71.0,35.0,62.0,35.0,31.0,51.0,45.0
22,Cambodia,89.0,,,95.0,85.0,71.0,,
23,Canada,49.0,23.0,73.0,13.0,114.0,110.0,66.0,90.0
24,Chile,70.0,43.0,21.0,64.0,58.0,62.0,56.0,77.0
25,China,32.0,46.0,40.0,97.0,74.0,79.0,22.0,26.0
26,Colombia,96.0,36.0,6.0,55.0,12.0,30.0,35.0,53.0
27,Costa Rica,97.0,51.0,,32.0,96.0,75.0,36.0,76.0
28,Croatia,14.0,50.0,24.0,16.0,72.0,64.0,88.0,78.0
29,Cuba,19.0,,,,65.0,4.0,,
30,Cyprus,29.0,80.0,15.0,39.0,84.0,91.0,70.0,72.0
31,Czech Republic,17.0,11.0,46.0,26.0,70.0,89.0,90.0,32.0
32,Denmark,16.0,3.0,36.0,5.0,111.0,115.0,93.0,84.0
33,Dominican Republic,106.0,75.0,,90.0,56.0,43.0,27.0,56.0
34,Ecuador,90.0,25.0,10.0,44.0,54.0,58.0,18.0,31.0
35,Egypt,76.0,87.0,18.0,100.0,16.0,7.0,4.0,17.0
36,El Salvador,120.0,,,,81.0,63.0,,
37,Estonia,10.0,19.0,66.0,3.0,59.0,74.0,98.0,39.0
38,Ethiopia,85.0,,,94.0,57.0,92.0,,
39,Fiji,103.0,,,,99.0,86.0,,
40,Finland,11.0,9.0,70.0,0.0,105.0,106.0,53.0,86.0
41,France,75.0,4.0,20.0,28.0,123.0,102.0,79.0,83.0
42,Georgia,3.0,84.0,31.0,76.0,4.0,35.0,26.0,9.0
43,Germany,39.0,16.0,34.0,15.0,94.0,108.0,102.0,91.0
44,Ghana,84.0,,,106.0,63.0,88.0,,
45,Greece,51.0,66.0,12.0,37.0,75.0,56.0,82.0,55.0
46,Guatemala,99.0,34.0,,75.0,66.0,73.0,23.0,10.0
47,Guyana,119.0,,,,,,,
48,Honduras,124.0,,,,46.0,41.0,60.0,50.0
49,Hong Kong,5.0,41.0,32.0,68.0,126.0,131.0,97.0,88.0
50,Hungary,40.0,86.0,38.0,33.0,39.0,67.0,80.0,52.0
51,Iceland,12.0,42.0,59.0,1.0,128.0,126.0,52.0,101.0
52,India,61.0,37.0,64.0,93.0,8.0,10.0,10.0,4.0
53,Indonesia,73.0,54.0,50.0,66.0,64.0,42.0,42.0,18.0
54,Iran,86.0,81.0,57.0,87.0,55.0,70.0,5.0,7.0
55,Iraq,81.0,91.0,,92.0,43.0,51.0,61.0,38.0
56,Ireland,72.0,79.0,22.0,20.0,106.0,124.0,81.0,102.0
57,Israel,27.0,18.0,13.0,45.0,119.0,114.0,100.0,87.0
58,Italy,67.0,39.0,17.0,42.0,103.0,93.0,84.0,62.0
59,Jamaica,116.0,,,72.0,108.0,72.0,,
60,Japan,4.0,2.0,29.0,23.0,127.0,105.0,96.0,97.0
61,Jordan,53.0,44.0,23.0,89.0,79.0,55.0,48.0,69.0
62,Kazakhstan,109.0,85.0,77.0,84.0,7.0,34.0,25.0,27.0
63,Kenya,107.0,70.0,0.0,85.0,53.0,45.0,16.0,49.0
64,Kosovo,34.0,,,,21.0,22.0,32.0,22.0
65,Kuwait,38.0,67.0,79.0,71.0,50.0,113.0,15.0,68.0
66,Kyrgyzstan,,,,,5.0,28.0,,
67,Latvia,42.0,49.0,49.0,19.0,51.0,60.0,92.0,82.0
68,Lebanon,62.0,47.0,9.0,105.0,83.0,100.0,71.0,85.0
69,Libya,110.0,,,,,,,
70,Lithuania,35.0,28.0,62.0,14.0,48.0,66.0,75.0,54.0
71,Luxembourg,36.0,,,11.0,124.0,129.0,,
72,Macao,,,,,112.0,125.0,,
73,Macedonia,45.0,64.0,47.0,96.0,10.0,11.0,63.0,34.0
74,Malaysia,102.0,33.0,71.0,58.0,68.0,48.0,19.0,36.0
75,Maldives,92.0,,,,,,,
76,Malta,46.0,32.0,,86.0,102.0,112.0,49.0,47.0
77,Mauritius,80.0,,,43.0,92.0,59.0,,
78,Mexico,95.0,26.0,27.0,65.0,44.0,54.0,11.0,28.0
79,Moldova,69.0,,,,19.0,21.0,69.0,8.0
80,Monaco,,,,102.0,,,,
81,Mongolia,100.0,,,107.0,,,,
82,Montenegro,56.0,,,31.0,29.0,38.0,59.0,48.0
83,Morocco,82.0,88.0,19.0,74.0,36.0,25.0,14.0,23.0
84,Myanmar,74.0,,,108.0,86.0,99.0,,
85,Namibia,118.0,,,,60.0,78.0,47.0,42.0
86,Nepal,37.0,63.0,,99.0,9.0,3.0,3.0,3.0
87,Netherlands,20.0,10.0,26.0,12.0,104.0,119.0,89.0,98.0
88,New Zealand,54.0,15.0,7.0,8.0,116.0,116.0,65.0,99.0
89,Nicaragua,68.0,,,,76.0,17.0,,
90,Nigeria,112.0,82.0,68.0,104.0,41.0,98.0,2.0,30.0
91,Norway,41.0,13.0,54.0,4.0,129.0,120.0,85.0,95.0
92,Oman,6.0,59.0,63.0,22.0,80.0,85.0,,
93,Pakistan,66.0,53.0,52.0,79.0,1.0,1.0,31.0,2.0
94,Palestine,63.0,,,,89.0,24.0,44.0,71.0
95,Panama,78.0,56.0,61.0,57.0,100.0,101.0,50.0,33.0
96,Papua New Guinea,127.0,,,,,,,
97,Paraguay,87.0,,,,11.0,32.0,21.0,35.0
98,Peru,121.0,68.0,3.0,98.0,49.0,61.0,29.0,37.0
99,Philippines,59.0,35.0,67.0,80.0,47.0,26.0,67.0,6.0
100,Poland,24.0,52.0,48.0,40.0,37.0,76.0,86.0,40.0
101,Portugal,28.0,22.0,4.0,17.0,71.0,95.0,58.0,63.0
102,Puerto Rico,115.0,69.0,,34.0,118.0,87.0,,
103,Qatar,0.0,17.0,78.0,51.0,101.0,127.0,39.0,61.0
104,Romania,21.0,72.0,42.0,47.0,30.0,36.0,54.0,24.0
105,Russia,55.0,61.0,76.0,54.0,40.0,52.0,64.0,41.0
106,Rwanda,,,,,22.0,57.0,,
107,Saudi Arabia,18.0,57.0,74.0,61.0,69.0,53.0,46.0,65.0
108,Serbia,43.0,83.0,33.0,50.0,15.0,27.0,73.0,44.0
109,Seychelles,,,,,115.0,117.0,,
110,Singapore,30.0,24.0,72.0,18.0,121.0,130.0,57.0,96.0
111,Slovakia,25.0,55.0,41.0,24.0,67.0,77.0,91.0,43.0
112,Slovenia,7.0,45.0,43.0,10.0,82.0,82.0,101.0,67.0
113,Somalia,101.0,,,,88.0,2.0,,
114,South Africa,126.0,48.0,8.0,46.0,45.0,81.0,45.0,66.0
115,South Korea,23.0,1.0,60.0,53.0,130.0,96.0,74.0,73.0
116,Spain,33.0,5.0,11.0,25.0,78.0,94.0,68.0,75.0
117,Sri Lanka,50.0,20.0,69.0,48.0,52.0,18.0,13.0,1.0
118,Suriname,,,,,87.0,19.0,,
119,Sweden,77.0,31.0,51.0,2.0,109.0,104.0,38.0,93.0
120,Switzerland,8.0,21.0,39.0,7.0,131.0,128.0,95.0,94.0
121,Syria,117.0,,,70.0,3.0,9.0,1.0,13.0
122,Taiwan,1.0,0.0,30.0,59.0,125.0,80.0,33.0,70.0
123,Tanzania,104.0,,,56.0,32.0,68.0,,
124,Thailand,52.0,7.0,58.0,83.0,93.0,83.0,43.0,57.0
125,Trinidad And Tobago,123.0,74.0,,69.0,95.0,84.0,20.0,59.0
126,Tunisia,58.0,62.0,,73.0,13.0,8.0,6.0,11.0
127,Turkey,47.0,27.0,14.0,67.0,34.0,13.0,28.0,51.0
128,Uganda,105.0,,,,14.0,37.0,,
129,Ukraine,83.0,77.0,53.0,60.0,20.0,39.0,55.0,15.0
130,United Arab Emirates,2.0,38.0,75.0,36.0,90.0,123.0,83.0,81.0
131,United Kingdom,64.0,12.0,25.0,27.0,98.0,109.0,94.0,92.0
132,United States,79.0,29.0,44.0,21.0,120.0,122.0,78.0,89.0
133,Uruguay,94.0,40.0,2.0,30.0,73.0,69.0,62.0,64.0
134,Uzbekistan,,,,,2.0,16.0,7.0,21.0
135,Venezuela,128.0,92.0,,78.0,27.0,14.0,0.0,0.0
136,Vietnam,71.0,60.0,56.0,103.0,61.0,65.0,30.0,5.0
137,Zambia,,,,,23.0,15.0,,
138,Zimbabwe,98.0,,,82.0,97.0,49.0,,
